@RELATION "litere"

@ATTRIBUTE "NUME" STRING
@ATTRIBUTE "PRENUME" STRING
@ATTRIBUTE "TOTALSES" NUMERIC
@ATTRIBUTE "W0" NUMERIC
@ATTRIBUTE "W1" NUMERIC
@ATTRIBUTE "W2" NUMERIC
@ATTRIBUTE "W3" NUMERIC
@ATTRIBUTE "W4" NUMERIC
@ATTRIBUTE "W5" NUMERIC
@ATTRIBUTE "W6" NUMERIC
@ATTRIBUTE "WEEKENDPCT" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV" NUMERIC
@ATTRIBUTE "MSG_MEANSEND" NUMERIC
@ATTRIBUTE "MSG_MEANRECV" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND_WDS" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV_WDS" NUMERIC
@ATTRIBUTE "GENDER" NUMERIC
@ATTRIBUTE "AGE" NUMERIC
@ATTRIBUTE "TOTALQUEST" NUMERIC
@ATTRIBUTE "GOODQUEST" NUMERIC
@ATTRIBUTE "QUESTPERC" NUMERIC
@ATTRIBUTE "TOTALHW" NUMERIC
@ATTRIBUTE "MEAN_TOTALHW_GRADE" NUMERIC
@ATTRIBUTE "MEAN_HOMEWORKS_GRADE" NUMERIC

@DATA
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,14,0.0,466.0,0,374,1,38,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,1,0,0,0,0,0.0,0,2,0.0,0.0,0,62,1,35,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,21,1,3,6,4,2,4,1,0.3125,0,4,0.0,61.0,0,53,1,32,442,182,41.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,25,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,0,0,1,0,0,0.0,0,2,0.0,0.0,0,62,1,104,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,6,1,1,0,3,1,0,0,0.0,0,0,0.0,0.0,0,0,1,104,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,7,1,1,1,2,1,1,0,0.16666666666666666,0,0,0.0,0.0,0,0,1,104,469,200,42.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,39,12,10.0,290.0,809,251,0,28,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,5,7,0.0,191.0,125,137,0,33,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,188.0,0,189,0,23,2,0,0.0,0,0.0,0.0
XXXXX,YYYYY,2,1,0,0,0,0,0,1,1.0,0,8,0.0,149.0,0,157,0,25,148,50,33.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,1,0,0,0,0,0.0,0,9,0.0,387.0,0,207,1,26,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,14,0.0,332.0,0,335,1,32,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,1,0,0,0,0,0.0,0,6,0.0,89.0,0,197,0,28,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,24,148,50,33.0,0,0.0,0.0
XXXXX,YYYYY,11,2,5,2,0,1,0,1,0.1,0,0,0.0,0.0,0,0,1,27,72,9,12.0,0,0.0,0.0
XXXXX,YYYYY,2,0,0,0,0,2,0,0,0.0,0,0,0.0,0.0,0,0,1,27,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,3,0,1,0,0,2,0,0,0.0,0,0,0.0,0.0,0,0,1,104,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,20,1,0,2,2,10,4,1,0.3333333333333333,0,2,0.0,0.0,0,39,1,25,442,182,41.0,0,0.0,0.0
XXXXX,YYYYY,3,0,1,0,0,2,0,0,0.0,0,0,0.0,0.0,0,0,1,104,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0,0,1,104,2153,1257,58.0,0,0.0,0.0
XXXXX,YYYYY,3,1,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0,0,1,104,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,104,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,104,226,105,46.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,24,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,315.0,0,258,1,30,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,330.0,0,244,1,38,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,315.0,0,258,1,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,315.0,0,258,1,33,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,315.0,0,258,1,38,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,315.0,0,258,1,43,0,0,0.0,0,0.0,0.0
